Employee ID,Gender,Days in Company,Office,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe32003000360033003200,Female,458,Rio de Janeiro,No,2,3.0,3.8,0.16
fffe3700360033003500,Male,397,Rio de Janeiro,Yes,1,2.0,5.0,0.36
fffe31003300320037003900,Female,662,Sao Paulo,Yes,2,,5.8,0.49
fffe32003400380032003900,Male,424,Rio de Janeiro,Yes,1,1.0,2.6,0.2
fffe31003900340031003600,Female,526,Rio de Janeiro,No,3,7.0,6.9,0.52
fffe3300350037003500,Male,401,Sao Paulo,Yes,2,4.0,3.6,0.29
fffe33003300340039003100,Female,730,Rio de Janeiro,No,3,6.0,7.9,0.62
fffe32003600320037003400,Female,427,Rio de Janeiro,Yes,2,4.0,4.4,0.33
fffe32003200300034003700,Female,370,Rio de Janeiro,No,3,6.0,,0.56
fffe31003600320030003200,Female,663,Sao Paulo,No,3,6.0,,0.67
fffe33003100330032003700,Male,656,Sao Paulo,Yes,2,3.0,5.3,0.5
fffe3400310035003800,Male,599,Rio de Janeiro,Yes,0,1.0,1.8,0.12
fffe32003100300030003700,Male,712,Rio de Janeiro,Yes,2,5.0,,0.4
fffe31003800330032003500,Female,678,Sao Paulo,No,1,3.0,,0.33
fffe33003100330036003300,Male,597,Sao Paulo,Yes,1,3.0,5.8,0.51
fffe31003700350033003100,Female,698,Rio de Janeiro,Yes,3,5.0,4.7,0.32
fffe33003200360037003000,Male,655,Rio de Janeiro,Yes,1,2.0,5.9,0.39
fffe31003500350030003400,Male,644,Rio de Janeiro,No,3,6.0,6.7,0.59
fffe31003000380035003800,Female,582,Sao Paulo,Yes,2,4.0,4.0,0.22
fffe3300350037003200,Female,553,Rio de Janeiro,No,3,5.0,,0.68
fffe31003300360039003000,Male,488,Sao Paulo,No,2,4.0,7.6,0.57
fffe32003700370038003300,Male,717,Rio de Janeiro,Yes,1,3.0,6.3,0.47
fffe31003800390035003300,Male,607,Rio de Janeiro,Yes,1,3.0,6.7,0.46
fffe3700370035003600,Female,410,Sao Paulo,Yes,3,,7.7,0.61
fffe3700300033003500,Female,474,Rio de Janeiro,No,3,8.0,,0.91
fffe3700370038003000,Female,449,Rio de Janeiro,Yes,3,,5.8,0.4
fffe3200340036003400,Male,447,Rio de Janeiro,No,2,4.0,6.6,0.44
fffe3600330034003600,Female,470,Rio de Janeiro,No,2,4.0,7.4,0.6
fffe31003600310031003600,Female,472,Rio de Janeiro,No,2,5.0,6.7,0.46
fffe3400310034003500,Female,401,Rio de Janeiro,Yes,2,4.0,,0.45
fffe32003300340037003400,Female,599,Sao Paulo,Yes,1,2.0,3.6,0.2
fffe3500380031003000,Female,381,Rio de Janeiro,Yes,1,2.0,3.9,0.2
